split_mode,experiment,feature_count,metric,mean,std,seeds
chronological,lstm_classifier,24,144h_threshold,0.11441574494043986,0.08296609479192098,3
chronological,lstm_classifier,24,144h_tn_ipcw,450.1674386665532,81.54864161791728,3
chronological,lstm_classifier,24,144h_tp_ipcw,34.79869946077866,0.6038248270752857,3
chronological,lstm_classifier,24,144h_tss,0.7037876301875784,0.11849548059818421,3
chronological,lstm_classifier,24,24h_alert_fraction,0.1426146010186757,0.04224059526188363,3
chronological,lstm_classifier,24,24h_auc,0.981191047631165,0.0005841371912804778,3
chronological,lstm_classifier,24,24h_average_precision,0.8223583374501743,0.008347071791206835,3
chronological,lstm_classifier,24,24h_brier,0.015844472010532164,0.00039145244121423385,3
chronological,lstm_classifier,24,24h_bss,0.6088614238069651,0.009663442896806278,3
chronological,lstm_classifier,24,24h_calibration_intercept,0.09864415065159572,0.018623892776900276,3
chronological,lstm_classifier,24,24h_calibration_slope,1.344884599963966,0.02331810776439215,3
chronological,lstm_classifier,24,24h_ece,0.014104948651217813,0.00016467488455140723,3
chronological,lstm_classifier,24,24h_f1,0.4393796853651671,0.09170027029452156,3
chronological,lstm_classifier,24,24h_far,0.7086641541383982,0.08034386338219154,3
chronological,lstm_classifier,24,24h_fn_ipcw,1.8664841085150634,0.6038248270752853,3
chronological,lstm_classifier,24,24h_fp_ipcw,68.84643764834298,28.560982737179202,3
chronological,lstm_classifier,24,24h_hss2,0.40185729313120433,0.1005853610074452,3
chronological,lstm_classifier,24,24h_km_reference_brier,0.040508589474213846,0.0,3
chronological,lstm_classifier,24,24h_known_count,589.0,0.0,3
chronological,lstm_classifier,24,24h_observed_survival_km,0.9596542113347408,0.0,3
chronological,lstm_classifier,24,24h_precision,0.29133584586160177,0.08034386338219149,3
chronological,lstm_classifier,24,24h_predicted_survival_mean,0.9523772199948629,0.0002012566196064999,3
chronological,lstm_classifier,24,24h_recall,0.9333643348568486,0.021557252375495054,3
chronological,lstm_classifier,24,24h_threshold,0.03700053691864014,0.008248341523583148,3
chronological,lstm_classifier,24,24h_tn_ipcw,590.6711411874882,28.560982737179174,3
chronological,lstm_classifier,24,24h_tp_ipcw,26.143802942801216,0.6038248270752861,3
chronological,lstm_classifier,24,24h_tss,0.8289752482613563,0.024301745404016303,3
chronological,lstm_classifier,24,48h_alert_fraction,0.2379110251450677,0.006700389971252915,3
chronological,lstm_classifier,24,48h_auc,0.980234803941891,0.0022378946657656855,3
chronological,lstm_classifier,24,48h_average_precision,0.8542918387808732,0.02034301060391917,3
chronological,lstm_classifier,24,48h_brier,0.014350219367601997,0.00046686641364236247,3
chronological,lstm_classifier,24,48h_bss,0.7025618101306178,0.009676778969532892,3
chronological,lstm_classifier,24,48h_calibration_intercept,0.05994672466104794,0.08333514119920964,3
chronological,lstm_classifier,24,48h_calibration_slope,1.4513656713178904,0.03760099594596821,3
chronological,lstm_classifier,24,48h_ece,0.02155259219671854,0.0005122026275400421,3
chronological,lstm_classifier,24,48h_f1,0.33292912629438964,0.012987562596637508,3
chronological,lstm_classifier,24,48h_far,0.7983180513733358,0.008877000212111961,3
chronological,lstm_classifier,24,48h_fn_ipcw,1.5178656820597682,0.6038248270752853,3
chronological,lstm_classifier,24,48h_fp_ipcw,124.16774341857855,5.036694531278231,3
chronological,lstm_classifier,24,48h_hss2,0.2750468441099349,0.014418700365400359,3
chronological,lstm_classifier,24,48h_km_reference_brier,0.048246055336417265,0.0,3
chronological,lstm_classifier,24,48h_known_count,517.0,0.0,3
chronological,lstm_classifier,24,48h_observed_survival_km,0.9525778467901921,0.0,3
chronological,lstm_classifier,24,48h_precision,0.20168194862666433,0.008877000212111966,3
chronological,lstm_classifier,24,48h_predicted_survival_mean,0.9395713011423746,0.0016890523825692765,3
chronological,lstm_classifier,24,48h_recall,0.9538002434722833,0.018378806719190576,3
chronological,lstm_classifier,24,48h_threshold,0.03889773289362589,0.0041106732282920715,3
chronological,lstm_classifier,24,48h_tn_ipcw,522.3914348110198,5.036694531278225,3
chronological,lstm_classifier,24,48h_tp_ipcw,31.336543001872332,0.6038248270752845,3
chronological,lstm_classifier,24,48h_tss,0.7617563477246838,0.023940163240744373,3
chronological,lstm_classifier,24,72h_alert_fraction,0.22912205567451818,0.011922407629186345,3
